isolabel_ext,status,cover,overlay
CO-BOY-SanMateo,0,c6bm c6bv c6eh c6er,
CO-BOY-SanMiguelSema,0,c316y c317s c317t c317y c317z c31cn c31cp c31cy c31cz c31dj c31dk c31dn c31dp c31ds c31dt c31dy c31dz c31en c31ep c31fj c31fn,
CO-BOY-SanRafaelUmbita,0,c1em c1ev c1fr,
CO-BOY-SantaMaria,0,c17r c17v c1dh c1dm c1dr c1dv,
CO-BOY-SantaRosaViterbo,0,c62h c62r c62v c68h,
CO-BOY-SantaSofia,0,c36h,
CO-BOY-Santana,0,c3c4t c3c4y c3c6j c3c6k c3c6n c3c6p c3c6s c3c6t c3c6y c3c6z c3c7j c3c7k c3c7s c3c7t c3c7z c3ccj c3ccn,
CO-BOY-Sativanorte,0,c68m c68v c69h c69m c69r c69v,
CO-BOY-Sativasur,0,c69h c69m c69r,
CO-BOY-Siachoque,0,c35h c35m c35r c35v,
CO-BOY-Soata,0,c6bh c6bm,
CO-BOY-Socha,0,c63r c63v c69h c69m,
CO-BOY-Socota,0,c63m c63v c66r c69h c69m c69r c69v c6ch,
CO-BOY-Sogamoso,0,c60r c60v c61r c62h c62m c63h,
CO-BOY-Somondoco,0,c1cm c1cv c1dr,
CO-BOY-Sora,0,c34cy c34cz c34ds c34dt c34dy c34dz c34en c34fj c34fk c34fn c34fp c34fz,
CO-BOY-Soraca,0,c35h c35r,
CO-BOY-Sotaquira,0,c37h c37m c37r c37v,
CO-BOY-Susacon,0,c68v c69r c69v c6bh c6bm,
CO-BOY-Sutamarchan,0,c34r c36h,
CO-BOY-Sutatenza,0,c1cey c1cez c1cfj c1cfk c1cfp c1cfs c1cft c1cfy c1cfz c1dak c1das c1dat,
CO-BOY-Tasco,0,c62v c63r c63v c69h,
CO-BOY-Tenza,0,c1cey c1cfs c1cft c1cfy c1cfz c1dat c1e4n c1e5j c1e5k c1e5n c1e5p c1e5s c1e5y c1e5z c1f0j c1f0k,
CO-BOY-Tibana,0,c1ev c1fr c34m c35h,
CO-BOY-Tibasosa,0,c62h c62m c62r,
CO-BOY-Tinjaca,0,c31dn c31dp c31dy c31dz c31fn c31fp c31fz c348j c348k c348s c348t c348y c348z c34aj c34ak c34an c34ap c34as c34at c34az,
CO-BOY-Tipacoque,0,c6b2y c6b3s c6b3t c6b3y c6b8n c6b8p c6b8z c6b9j c6b9k c6b9n c6b9p c6b9s c6b9t c6b9y c6b9z c6bbj c6bbn,
CO-BOY-Toca,0,c35r c35v c37m c60r,
CO-BOY-Togui,0,c36r c36v c3ch c3cm,
